Quarter,2YO_mean,2YO_median,2YO_min,2YO_max,2YO_mean_no_extremes,2YO_median_no_extremes,2YO_mean_no_outliers,2YO_median_no_outliers,3YO_mean,3YO_median,3YO_min,3YO_max,3YO_mean_no_extremes,3YO_median_no_extremes,3YO_mean_no_outliers,3YO_median_no_outliers,4YO_mean,4YO_median,4YO_min,4YO_max,4YO_mean_no_extremes,4YO_median_no_extremes,4YO_mean_no_outliers,4YO_median_no_outliers,5YO_mean,5YO_median,5YO_min,5YO_max,5YO_mean_no_extremes,5YO_median_no_extremes,5YO_mean_no_outliers,5YO_median_no_outliers
2015Q1,,,,,,,,,85439.93549121237,83745.4047660994,82481.53751683977,92092.8856108204,85176.03890940982,83745.4047660994,85439.93549121235,83745.4047660994,72738.01078873295,72239.54385478672,70500.58359552149,77306.59320541064,72543.7478534441,72239.54385478672,72386.58137206546,72031.30371342746,63983.30741089225,63180.58186192758,61399.66667452009,68710.03751515353,63830.22959890017,63180.58186192758,63983.30741089225,63180.58186192758
2015Q2,,,,,,,,,78351.57573740616,78430.1008519709,75190.98231539656,82463.81421222244,78288.13273388572,78430.1008519709,78351.57573740616,78430.1008519709,72136.57615185293,71669.58322923986,70518.30690013882,74293.37078363111,72098.11005327692,71669.58322923986,72136.57615185293,71669.58322923986,62883.81689746819,62474.01704492627,61243.48005257982,64862.35731413186,62859.65949948424,62474.01704492627,62883.81689746819,62474.01704492627
2015Q3,,,,,,,,,78051.48600735205,78789.55162374122,75330.18410374521,80124.33800273426,78094.71600123371,78789.55162374122,78051.48600735205,78789.55162374122,68696.22474823678,69029.5493122827,65990.0025704098,70930.37373249185,68732.53807081924,69029.5493122827,68889.52633236726,69038.41096459137,59029.74336212309,59007.86451806643,57376.4765263851,61010.3447497593,59006.36232270178,59007.86451806643,59029.74336212309,59007.86451806643
2015Q4,,,,,,,,,74165.32288197914,74202.5026479072,71670.59862690023,76810.08003929266,74152.82014012626,74202.5026479072,74165.32288197915,74202.5026479072,62600.42226889521,62558.21694322449,60562.240531351024,65553.84312084256,62524.15234269495,62558.21694322449,62600.422268895214,62558.21694322449,55578.48205658343,55489.366568082216,53597.53567000776,58014.51549260915,55537.110506633435,55489.366568082216,55578.48205658343,55489.366568082216
2016Q1,103330.24019606366,103194.3448887321,94182.30608390411,112679.8621882166,103325.06871196126,103194.3448887321,103330.24019606366,103194.3448887321,82002.39313461781,79055.42693399073,75617.5991316048,92395.06795454596,81894.07203145795,79055.42693399073,82002.39313461781,79055.42693399073,95484.47041843698,99100.46848420233,64926.6042933697,112781.07506054464,95734.68289924753,99100.46848420233,97835.7529355327,100803.56288613004,53108.598702434785,53895.581788199146,46121.276338856784,57429.64644023711,53197.47452329398,53895.581788199146,53108.598702434785,53895.581788199146
2016Q2,92995.2500592243,92932.84510886285,88887.0913080369,95331.6660358642,93075.78382170374,92932.84510886285,93173.86565710201,92951.9133234462,77317.45131242905,77053.09546945777,74074.38088594348,80949.30244734426,77304.04508110389,77053.09546945777,77317.45131242905,77053.09546945777,79803.62588405378,84397.88697688573,58776.61759115454,95480.12879501889,79970.82917723921,84397.88697688573,79803.62588405379,84397.88697688573,46436.16859351201,46404.35889044695,42517.65319223146,50530.3578039224,46431.288765480625,46404.35889044695,46436.16859351201,46404.35889044695
2016Q3,86839.83461290893,87339.20567128513,80577.53385461115,90325.94777225536,86966.02495831583,87339.20567128513,87112.1085589219,87370.18920363045,70968.07407923641,71087.66677346654,67084.4166305302,74559.22035289113,70977.21505345676,71087.66677346654,70968.0740792364,71087.66677346654,75223.40133810679,81845.17989620207,55371.28153454054,90340.73536723832,75371.3633935579,81845.17989620207,75223.4013381068,81845.17989620207,45953.304287290615,45965.28440226711,43716.90883781794,47770.44542378966,45968.83222480815,45965.28440226711,45953.3042872906,45965.28440226711
2016Q4,82476.3268399324,81555.6716477572,79970.93438541287,97714.81606542532,81415.2354423513,81555.6716477572,81304.13536104836,81554.43934817528,67459.28326461134,67191.21341941578,65035.99031405481,78370.36681305467,67105.62532303271,67191.21341941578,66553.25646195172,66962.18952128122,70037.63269298842,74493.20482784687,54512.79949956112,82407.19065886133,70195.39645436614,74493.20482784687,70037.63269298842,74493.20482784687,41784.16656444147,41251.58860177068,40047.2006053848,52283.820145796926,41346.03218332653,41251.58860177068,41284.1830605674,41135.0130613214
2017Q1,99125.16975029459,99239.38811288786,97318.1453157938,99992.1056928066,99068.47093650633,99087.56880439579,99231.46530526521,99341.4515135548,77410.02743890451,77581.50549607718,74798.97304011026,79337.86636034002,77430.7309382184,77581.50549607718,77410.02743890451,77581.50549607718,80990.43080993755,79616.20617022677,59388.34852708723,99992.1056928066,79769.63969387698,79124.72595546812,80990.43080993755,79616.20617022677,46279.295609326655,44863.02510535142,44279.84159437174,51953.66658714588,46171.209816301234,44863.02510535142,45948.14546992172,44831.41796055755
2017Q2,94886.84961660249,95175.45739362319,90321.37065952252,99338.43922568792,94890.91709331657,95175.45739362319,94886.8496166025,95175.45739362319,76274.91643199255,76183.26809682162,71901.66068022768,81392.07555653891,76256.31884767301,76183.26809682162,76274.91643199255,76183.26809682162,82762.48551147227,92834.90972103688,53667.59810857316,99317.35321061958,83084.02447823515,92834.90972103688,82762.48551147229,92834.90972103688,43535.43403690568,43862.45675566736,41558.79440175512,45258.16699428247,43543.62457489838,43862.45675566736,43535.43403690568,43862.45675566736
2017Q3,93822.72705202007,93218.42873536437,89414.0460816373,101408.63406221935,93690.34263369437,93218.42873536437,93519.2907716121,92975.39187337532,70406.33353241789,70314.48889703947,67651.88552546846,73799.48136162804,70386.97899234938,70314.48889703947,70386.97899234938,70314.48889703947,79590.6258351815,90212.38662616795,51330.297751214326,100495.00715218663,79794.95768981936,90212.38662616795,79590.6258351815,90212.38662616795,42043.534593311175,42216.424405540805,40056.01154739549,43689.26815346572,42055.320437647766,42216.424405540805,42055.32043764776,42216.424405540805
2017Q4,103208.87908515922,104303.98061086416,86504.58676873296,117767.6163954216,103270.1806567639,104303.98061086416,103208.87908515922,104303.98061086416,74007.08542220725,68931.03472907383,64567.60037798673,90372.63017994676,73776.21676508995,68931.03472907383,74007.08542220725,68931.03472907383,93074.85337941394,98763.09224310878,49974.78143557068,117747.94792758474,93493.64832022467,98763.09224310878,98143.64194068508,101692.32703025625,44165.00498716969,40756.44762147944,39069.18604219696,55382.8608274374,43909.9201165324,40756.44762147944,44165.00498716969,40756.44762147944
2018Q1,96376.02608193374,96695.4578512642,86297.8685138665,105877.81495595514,96388.28924563684,96695.4578512642,96376.02608193376,96695.4578512642,80980.12316855618,80608.65968274014,75200.5131192639,90298.13455376556,80914.59721789106,80608.65968274014,80473.64622182984,80376.95561399272,89015.36104657647,92642.12329755486,63223.5180963039,105907.14368600474,89177.18032495545,92642.12329755486,89015.36104657647,92642.12329755486,48523.86365861037,47303.20254088516,46234.26873129094,55316.91286936888,48405.351703783024,47303.20254088516,48017.08371243032,47141.631222281256
2018Q2,96505.74767988853,97192.32104269284,92190.63450432676,100042.15601428752,96546.73214521287,97192.32104269284,96721.5033386666,97281.86814564542,78584.49608743156,78484.37032309454,74964.53355070848,81894.55403278416,78591.70317095179,78484.37032309454,78584.49608743153,78484.37032309454,81045.59163894634,81365.2809645413,63502.94239507966,100109.58491961595,81004.47423254627,81365.2809645413,81045.59163894634,81365.2809645413,48393.469552683026,48415.32934861669,46399.59546694192,49786.48100848068,48411.14198297548,48415.32934861669,48506.017142145756,48438.6064843351
2018Q3,91792.74575554697,89852.74473279949,82557.91037695727,106586.00383346484,91642.51811502459,89852.74473279949,91403.44949033861,89815.46767044651,79942.23182906244,79587.43333663279,77227.39930729808,82635.38431779356,79942.83405220223,79587.43333663279,79865.95435847176,79584.771260207,82660.07847180609,84702.67382034787,62047.70839538959,106372.58323809452,82595.49233243377,84702.67382034787,82660.07847180609,84702.67382034787,50312.534773252184,50303.69926644325,47506.00189982855,51932.421998071804,50349.61744977107,50303.69926644325,50480.8265477556,50332.84796168401
2018Q4,109704.60518861415,105161.90510901816,95626.00959314476,126270.24188327492,109608.94976172216,105161.90510901816,109704.60518861415,105161.90510901816,80625.36646793869,78412.54222884268,72853.11250623304,94161.7339297072,80473.67927056862,78412.54222884268,79559.0326654739,78389.6494235231,95180.54593248665,100873.19989387676,61225.09359090589,126263.86292073324,95247.33977791305,100873.19989387676,95180.54593248665,100873.19989387676,52425.694825735474,51298.93385559987,47700.705233771325,61345.95850433025,52305.82985183174,51298.93385559987,51918.71729955885,51219.411479226575
2019Q1,115549.40483452051,115059.51897638585,111595.43855613028,120680.87529870353,115500.34216011244,115059.51897638585,115549.40483452052,115059.51897638585,87725.66343258643,87407.74970745534,82460.59030741104,94034.76867742898,87704.35665463403,87407.74970745534,87725.66343258643,87407.74970745534,90767.4031135464,83658.34185752936,67656.44569868757,120615.2915900718,90627.050383095,83658.34185752936,90767.4031135464,83658.34185752936,57912.05099418114,57482.699315022735,56624.19727295439,61461.04881291412,57859.46624772751,57482.699315022735,57670.78197798798,57465.35741310031
2019Q2,108415.39345666212,107828.23027312434,104411.1319935584,115851.8013120691,108259.3868024665,107828.23027312434,108092.07137599225,107809.81424048348,87012.1694718985,87742.13213453862,81906.32933990026,93262.92894115408,86988.31698570562,87742.13213453862,87012.1694718985,87742.13213453862,87163.35651385457,87696.87158010955,66653.66255968872,116366.9025373101,86970.15980120368,87696.87158010955,87163.35651385457,87696.87158010955,54511.28040618655,54564.32127662169,48280.590208461625,57815.18088880352,54588.301188163074,54564.32127662169,54828.8756314222,54718.3194170215
2019Q3,,,,,,,,,79649.7253800412,80239.20163610755,74151.89627512105,83718.39010791232,79695.8274567202,80239.20163610755,79649.72538004121,80239.20163610755,62990.56461103443,63139.858196638845,58686.86847597227,66257.6365941602,63037.68389066791,63139.858196638845,62990.56461103443,63139.858196638845,48217.84469155761,47640.450244596184,45048.688579636655,52951.16415240184,48165.70591326018,47640.450244596184,48217.84469155761,47640.450244596184
2019Q4,,,,,,,,,73747.0236709823,73703.27819711383,70997.32788532422,88169.84948799587,73191.16033615584,73703.27819711383,73091.44067929985,73648.00220683594,57583.251660125155,58008.76638873416,55587.65295186979,63147.76793522011,57395.41389344939,58008.76638873416,57305.025846370416,57859.914518979596,44460.40585534599,44525.25861682884,41915.482955459214,50528.17851536644,44274.9927100758,44525.25861682884,44157.01722234497,44258.86715195869
2020Q1,,,,,,,,,85737.40644027,85615.30802955631,82761.09081973584,89166.8777739732,85722.30124983104,85615.30802955631,85737.40644027002,85615.30802955631,61073.43602155477,61303.31486856929,57041.73110907758,64120.38776932421,61104.20955795188,61303.31486856929,61073.43602155477,61303.31486856929,44975.267488182784,44068.34479189769,42061.49292059361,50272.53725534053,44895.81764819716,44068.34479189769,44804.38781827447,43910.149637189286
2020Q2,,,,,,,,,76781.69614018242,74939.8797603643,69401.58185804967,85539.2486233315,76751.75183146466,74939.8797603643,76781.69614018242,74939.8797603643,52444.25562845108,52247.46249000374,49300.67926980949,56849.86759782775,52402.187774759914,52247.46249000374,52302.13911330989,52241.76111849857,39020.23905786165,38051.1176623972,37130.223456715496,43823.44208883599,38923.13281020071,38051.1176623972,38711.969688289435,37959.72253962132
2020Q3,,,,,,,,,72500.76320629958,72279.09382248772,70684.00732290649,74640.51230618515,72487.8434776399,72279.09382248772,72500.7632062996,72279.09382248772,51353.93045327856,51036.88538142851,50111.75189876364,53055.766662862094,51334.778050984045,51036.88538142851,51353.93045327856,51036.88538142851,38457.50796296353,38696.82626880423,37111.46324558195,39362.69930870687,38475.142097829055,38696.82626880423,38457.50796296353,38696.82626880423
2020Q4,,,,,,,,,73334.78555924133,72442.87502556972,70940.3605103392,90432.6973177218,72354.55311193611,72442.87502556972,72266.16607433629,72350.3872967468,52111.982283518715,51424.23148890848,49321.24170351494,72706.34913487555,51122.89193511021,51424.23148890848,51028.06823871046,51261.00562845244,40260.62835698634,39588.10539185355,37272.64189417812,55274.33238945206,39458.9138523425,39588.10539185355,39322.27185495723,39568.30406835236
2021Q1,,,,,,,,,90658.94328857689,90836.21622386583,88685.69781818043,92616.44669214849,90661.19215526618,90836.21622386583,90658.94328857689,90836.21622386583,71246.5601508838,71182.47185402563,70114.33357305606,72620.89807239798,71206.20826026938,71182.47185402563,71246.5601508838,71182.47185402563,52272.287364347336,52725.04235887133,49484.00563204364,54455.42637404206,52347.93020467346,52725.04235887133,52272.28736434734,52725.04235887133
2021Q2,,,,,,,,,98929.6977821577,99594.95012781638,94245.71361672076,100876.71606497988,99320.69290824553,99594.95012781638,99515.19580283732,99837.06147150282,76140.21590480738,76466.19588388846,72706.34913487555,78858.8256332603,76242.39548216152,76466.19588388846,76140.21590480738,76466.19588388846,58780.113277452125,59338.0051383852,56240.188338062144,59689.30395079296,59051.902321793656,59338.0051383852,59142.95969736499,59347.49970088271
2021Q3,,,,,,,,,104893.01094705045,104024.16353290358,100250.0749401444,112403.1149369538,104534.61494917581,104024.16353290358,104893.01094705045,104024.16353290358,83818.54771789572,84327.69363182454,80283.01000788642,86378.51913128614,83981.14210066554,84327.69363182454,83818.54771789574,84327.69363182454,67830.9967875444,68576.21444845985,61090.701375425066,72763.3165098606,68089.27902894483,68576.21444845985,67830.9967875444,68576.21444845985
2021Q4,,,,,,,,,126945.29580818559,119309.73097085489,115078.68264875138,147426.18234963407,125714.68532504069,119309.73097085489,126945.29580818559,119309.73097085489,103834.37503795879,95873.94477083872,87959.36378712111,128349.2326515174,102600.1112718558,95873.94477083872,103834.37503795879,95873.94477083872,83938.44739592838,75900.59123225124,74153.83834472281,109792.11025013927,81260.27176209415,75900.59123225124,83938.44739592838,75900.59123225124
2022Q1,,,,,,,,,159008.1680830957,159692.6823682887,149827.96756998566,165477.71929801992,159279.23301291425,159692.6823682887,159008.1680830957,159692.6823682887,135989.95304998494,137107.96655546792,130391.51304473124,139158.79205492954,136337.03890717195,137107.96655546792,135989.95304998494,137107.96655546792,111909.69156639882,111643.54993715322,109934.5286876019,114524.47147211117,111818.3177054109,111643.54993715322,111909.69156639882,111643.54993715322
2022Q2,,,,,,,,,148580.70758567023,148145.39545882025,142320.48136659947,156488.26752537995,148374.79087059037,148145.39545882025,148580.70758567023,148145.39545882025,126432.95982230002,125749.18986867726,112441.09318694382,141771.15310781513,126336.79363300295,125749.18986867726,126432.95982230002,125749.18986867726,104111.58654297677,105298.80854819392,93938.0897918015,112213.22368700366,104299.9374163539,105298.80854819392,104111.58654297677,105298.80854819392
2022Q3,,,,,,,,,130306.60452868209,131404.1081350904,116846.57018578723,141014.30084015668,130535.96603130044,131404.1081350904,130306.6045286821,131404.1081350904,107292.09699892062,107477.81064137185,101588.80825229292,112896.8321868242,107304.41619376114,107477.81064137185,107292.09699892062,107477.81064137185,88048.46224126981,88655.91941762008,80761.53595776079,93300.055191969,88302.87890787104,88655.91941762008,88048.4622412698,88655.91941762008
2022Q4,,,,,,,,,119557.57604384176,115046.05587944176,110732.07193739252,130528.23474469536,119251.12538749828,115046.05587944176,119557.57604384176,115046.05587944176,99401.45772594755,99746.01539898208,94154.56581674468,104001.78349273089,99482.27849375,99746.01539898208,99401.45772594755,99746.01539898208,77914.08789335683,76468.78531002413,73931.14769705402,83245.31350710872,77721.47569086411,76468.78531002413,77914.08789335683,76468.78531002413
2023Q1,,,,,,,,,115539.95192302152,113523.47331165968,111323.10845286236,123568.72043402246,115116.40469626132,113523.47331165968,115539.95192302152,113523.47331165968,88145.79630359003,86657.93054192708,83843.47094445169,95813.74061318408,87725.09393478307,86657.93054192708,88145.79630359003,86657.93054192708,72461.73467925796,69721.25868565927,68291.37757353464,81393.8738200948,71932.64778646757,69721.25868565927,72461.73467925796,69721.25868565927
2023Q2,,,,,,,,,101335.0728513774,101360.93875235275,87631.80138095711,112127.7726245261,101558.96298193675,101360.93875235275,101335.07285137738,101360.93875235275,77652.18881277353,77147.43074308462,73327.29352221254,82907.57835541168,77535.8770312639,77147.43074308462,77652.18881277353,77147.43074308462,61786.33406046565,60926.30980761109,57662.89304061068,67062.50991314297,61642.242206362855,60926.30980761109,61786.33406046565,60926.30980761109
2023Q3,,,,,,,,,90756.84620260692,90622.58856767192,87866.79180277043,93503.51010262988,90777.33055972315,90622.58856767192,90756.84620260692,90622.58856767192,68289.49715693611,69373.75769825047,61633.31562215762,71438.82504145833,68679.14756252013,69373.75769825047,68955.11531041395,69687.07826066822,55534.75467509798,55715.82954558615,53512.412863128906,57011.83732649591,55625.63120185983,55715.82954558615,55534.75467509798,55715.82954558615
2023Q4,,,,,,,,,95469.90665833176,94923.62537904277,76813.69687129726,117150.39618570748,95217.88334663666,94923.62537904277,95469.90665833176,94923.62537904277,67633.92756222766,60885.61882547892,59860.20607574811,77776.44550854448,67160.16827026018,60885.61882547892,67633.92756222766,60885.61882547892,49659.93247676207,47612.22045396365,40064.0432684453,62737.05851249283,49273.128384827185,47612.22045396365,49659.93247676207,47612.22045396365
2024Q1,,,,,,,,,103092.17473496185,101966.21711156884,94382.43531668485,117432.85942000832,103329.00505430858,103098.4436893966,103092.17473496185,101966.21711156884,72760.9515006567,72871.31715826975,69977.61187309196,76587.2515557317,72630.5814472179,72871.31715826975,72760.9515006567,72871.31715826975,55508.36657318527,54975.253670780585,51998.708327812026,60052.47096632264,55379.06080471474,54975.253670780585,55508.36657318527,54975.253670780585
2024Q2,,,,,,,,,91932.83819232795,92075.25662979056,89340.82263050844,94154.56581674468,91994.55284856174,92075.25662979056,91932.83819232795,92075.25662979056,68754.13576783279,69808.13393251144,62879.47694995545,71994.2569475625,69083.45297260126,69808.13393251144,68754.1357678328,69808.13393251144,51413.2103071324,51144.19770303636,50232.71970327565,53280.47426497552,51495.49651544413,51186.92323427515,51413.21030713241,51144.19770303636
2024Q3,,,,,,,,,89903.37545848575,89967.46375534392,87717.25244343469,91363.16444247751,90007.13746292281,89967.46375534392,89903.37545848574,89967.46375534392,59600.68803414957,58920.24438849487,58008.76638873416,61911.031575209694,59498.05633477176,58920.24438849487,59600.68803414957,58920.24438849487,47732.59451760446,48324.31264127669,43893.06468708289,49833.948078380345,47980.90541328242,48324.31264127669,47732.59451760446,48324.31264127669
2024Q4,,,,,,,,,89474.93332578574,89982.65505533994,83444.69931955638,95037.56012901288,89552.86785961944,89982.65505533994,89474.93332578574,89982.65505533994,69729.803791907,77591.30153984309,58122.70113870426,78460.05400836503,70305.17427925595,77591.30153984309,69729.803791907,77591.30153984309,50026.00951404421,55502.20188939222,42057.90139292184,56157.326701720245,50393.367700733485,55502.20188939222,50026.00951404421,55502.20188939222
